7/24/2012,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,,,71,,68,24,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,64,,32,,100,40,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,24,,27,,4,16,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,,,,,,,25
C. nigrapalpus,1776,,591,1648,248,2144,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,80,24,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,16,,12,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,8,,,,,,51
P. columbiae,8,,,,4,,50
P. ferox,,,8,,4,24,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
