9/29/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,,,,,,,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,,,,,3,,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,37,,,,,97,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,73,,2,,,142,25
C. nigrapalpus,179,,7,1,2,279,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,15,,5,,3,49,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,4,,1,,,19,51
P. columbiae,,,,,3,,50
P. ferox,21,,,4,2,37,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
